"transab_cat","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No transfer dependency","1988","inadequately","West Germany","158","0.247270794296926","0.214700330854944","0.279841257738908","0"
"No transfer dependency","1988","inadequately","East Germany","","","","","0"
"No transfer dependency","1988","vocational + Abi","East Germany","","","","","0"
"No transfer dependency","1988","higher vocational","West Germany","226","0.52973979872849","0.48637976477105","0.573099832685929","0"
"No transfer dependency","1988","higher vocational","East Germany","","","","","0"
"No transfer dependency","1988","higher education","West Germany","304","0.55332062963134","0.514713745362135","0.591927513900546","0"
"No transfer dependency","1988","higher education","East Germany","","","","","0"
"Very high transfer dependency","1988","general elemantary","West Germany","31","0.0129605753794238","0.00862223077411419","0.0172989199847333","4"
"Very high transfer dependency","1988","general elemantary","East Germany","","","","","4"
"Very high transfer dependency","1988","middle vocational","West Germany","30","0.00753062547208617","0.00500472685152456","0.0100565240926478","4"
"Very high transfer dependency","1988","middle vocational","East Germany","","","","","4"
"Very high transfer dependency","1988","vocational + Abi","West Germany","2","","","","4"
"Very high transfer dependency","1988","vocational + Abi","East Germany","","","","","4"
"Very high transfer dependency","1988","higher vocational","West Germany","","","","","4"
"Very high transfer dependency","1988","higher vocational","East Germany","","","","","4"
"Very high transfer dependency","1988","higher education","West Germany","1","","","","4"
"Very high transfer dependency","1988","higher education","East Germany","","","","","4"
"Very high transfer dependency","1988","in school","West Germany","3","","","","4"
"Very high transfer dependency","1988","in school","East Germany","","","","","4"
"Very high transfer dependency","1988","inadequately","West Germany","7","","","","4"
"Very high transfer dependency","1988","inadequately","East Germany","","","","","4"
"Very low transfer dependency","1988","higher education","East Germany","","","","","1"
"Very low transfer dependency","1988","higher vocational","East Germany","","","","","1"
"Very low transfer dependency","1988","higher education","West Germany","320","0.42674459062898","0.388335283937412","0.465153897320549","1"
"Very low transfer dependency","1988","higher vocational","West Germany","264","0.432044854270497","0.389010961075034","0.47507874746596","1"
"Very low transfer dependency","1988","inadequately","West Germany","435","0.593023430216204","0.55593497262756","0.630111887804847","1"
"Very low transfer dependency","1988","inadequately","East Germany","","","","","1"
"Very low transfer dependency","1988","general elemantary","West Germany","1384","0.383285222947628","0.364636552668902","0.401933893226354","1"
"Very low transfer dependency","1988","in school","East Germany","","","","","1"
"Very low transfer dependency","1988","general elemantary","East Germany","","","","","1"
"Very low transfer dependency","1988","middle vocational","West Germany","2286","0.418530624999257","0.404117144057979","0.432944105940536","1"
"Very low transfer dependency","1988","middle vocational","East Germany","","","","","1"
"Very low transfer dependency","1988","vocational + Abi","West Germany","127","0.394399821685752","0.334880282365577","0.453919361005928","1"
"Very low transfer dependency","1988","vocational + Abi","East Germany","","","","","1"
"Very low transfer dependency","1988","in school","West Germany","131","0.844646122296076","0.786868713241876","0.902423531350277","1"
"Complete transfer dependency","1989","inadequately","West Germany","19","","","","5"
"Complete transfer dependency","1989","higher education","West Germany","","","","","5"
"Complete transfer dependency","1989","higher education","East Germany","","","","","5"
"Complete transfer dependency","1989","higher vocational","East Germany","","","","","5"
"Complete transfer dependency","1989","inadequately","East Germany","","","","","5"
"Complete transfer dependency","1989","general elemantary","East Germany","","","","","5"
"Complete transfer dependency","1989","in school","East Germany","","","","","5"
"Complete transfer dependency","1989","general elemantary","West Germany","29","","","","5"
"Complete transfer dependency","1989","higher vocational","West Germany","1","","","","5"
"Complete transfer dependency","1989","in school","West Germany","2","","","","5"
"Complete transfer dependency","1989","middle vocational","West Germany","27","","","","5"
"Complete transfer dependency","1989","middle vocational","East Germany","","","","","5"
"Complete transfer dependency","1989","vocational + Abi","West Germany","1","","","","5"
"Complete transfer dependency","1989","vocational + Abi","East Germany","","","","","5"
"High transfer dependency","1989","higher education","East Germany","","","","","3"
"High transfer dependency","1989","higher education","West Germany","","","","","3"
"High transfer dependency","1989","inadequately","West Germany","11","","","","3"
"High transfer dependency","1989","general elemantary","West Germany","36","0.0117321669664403","0.00749343187721369","0.0159709020556668","3"
"High transfer dependency","1989","higher vocational","East Germany","","","","","3"
"High transfer dependency","1989","inadequately","East Germany","","","","","3"
"High transfer dependency","1989","in school","East Germany","","","","","3"
"High transfer dependency","1989","general elemantary","East Germany","","","","","3"
"High transfer dependency","1989","higher vocational","West Germany","1","","","","3"
"High transfer dependency","1989","in school","West Germany","3","","","","3"
"High transfer dependency","1989","middle vocational","West Germany","42","0.0110603177066142","0.00796127354264882","0.0141593618705796","3"
"High transfer dependency","1989","middle vocational","East Germany","","","","","3"
"High transfer dependency","1989","vocational + Abi","West Germany","6","","","","3"
"High transfer dependency","1989","vocational + Abi","East Germany","","","","","3"
"Low transfer dependency","1989","general elemantary","West Germany","95","0.0281185402680128","0.0216110599705153","0.0346260205655103","2"
"Low transfer dependency","1989","general elemantary","East Germany","","","","","2"
"Low transfer dependency","1989","middle vocational","West Germany","105","0.0208997321081909","0.0166609313169806","0.0251385328994012","2"
"Low transfer dependency","1989","middle vocational","East Germany","","","","","2"
"Low transfer dependency","1989","vocational + Abi","West Germany","12","","","","2"
"Low transfer dependency","1989","vocational + Abi","East Germany","","","","","2"
"Low transfer dependency","1989","higher vocational","West Germany","11","","","","2"
"Low transfer dependency","1989","higher vocational","East Germany","","","","","2"
"Low transfer dependency","1989","higher education","West Germany","10","","","","2"
"Low transfer dependency","1989","higher education","East Germany","","","","","2"
"Low transfer dependency","1989","in school","West Germany","10","","","","2"
"Low transfer dependency","1989","in school","East Germany","","","","","2"
"Low transfer dependency","1989","inadequately","West Germany","42","0.063341976188473","0.044306703548276","0.08237724882867","2"
