"transab_cat","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Very low transfer dependency","1986","16-34 y.","in school","164","0.886888445372386","0.840746405755952","0.933030484988819","1"
"Very low transfer dependency","1986","16-34 y.","inadequately","160","0.585730002140659","0.521077381177171","0.650382623104147","1"
"Very low transfer dependency","1986","16-34 y.","general elemantary","767","0.711308817361553","0.683990342283365","0.738627292439741","1"
"Very low transfer dependency","1986","66 and older","in school","","","","","1"
"Very low transfer dependency","1986","66 and older","inadequately","5","","","","1"
"Very low transfer dependency","1986","66 and older","general elemantary","54","0.121441973297646","0.0890240328086809","0.153859913786611","1"
"Very low transfer dependency","1986","35-65 y.","higher vocational","172","0.529811942304011","0.472952983285061","0.586670901322962","1"
"Very low transfer dependency","1986","35-65 y.","higher education","281","0.575982160474081","0.529858328966341","0.622105991981821","1"
"Very low transfer dependency","1986","16-34 y.","higher education","98","0.413542195797041","0.348467064908553","0.478617326685528","1"
"Very low transfer dependency","1986","35-65 y.","in school","","","","","1"
"Very low transfer dependency","1986","16-34 y.","vocational + Abi","65","0.356117095544881","0.278970442033817","0.433263749055946","1"
"Very low transfer dependency","1986","16-34 y.","higher vocational","103","0.491693084656201","0.419847236162594","0.563538933149807","1"
"Very low transfer dependency","1986","35-65 y.","inadequately","325","0.62703624108292","0.585147939807439","0.668924542358402","1"
"Very low transfer dependency","1986","35-65 y.","general elemantary","688","0.413181437889564","0.386737976580241","0.439624899198887","1"
"Very low transfer dependency","1986","35-65 y.","middle vocational","1460","0.517931204119314","0.498402669984788","0.53745973825384","1"
"Very low transfer dependency","1986","35-65 y.","vocational + Abi","47","0.383093430446262","0.285336324009221","0.480850536883303","1"
"Very low transfer dependency","1986","66 and older","higher education","2","","","","1"
"Complete transfer dependency","1987","16-34 y.","vocational + Abi","","","","","5"
"Complete transfer dependency","1987","16-34 y.","in school","","","","","5"
"Complete transfer dependency","1987","16-34 y.","inadequately","5","","","","5"
"Complete transfer dependency","1987","16-34 y.","general elemantary","15","","","","5"
"Complete transfer dependency","1987","16-34 y.","middle vocational","9","","","","5"
"Complete transfer dependency","1987","66 and older","middle vocational","","","","","5"
"Complete transfer dependency","1987","66 and older","general elemantary","1","","","","5"
"Complete transfer dependency","1987","16-34 y.","higher vocational","","","","","5"
"Complete transfer dependency","1987","16-34 y.","higher education","2","","","","5"
"Complete transfer dependency","1987","66 and older","in school","","","","","5"
"Complete transfer dependency","1987","66 and older","inadequately","","","","","5"
"Complete transfer dependency","1987","35-65 y.","in school","","","","","5"
"Complete transfer dependency","1987","35-65 y.","inadequately","8","","","","5"
"Complete transfer dependency","1987","35-65 y.","higher education","1","","","","5"
"Complete transfer dependency","1987","35-65 y.","higher vocational","1","","","","5"
"Complete transfer dependency","1987","35-65 y.","general elemantary","12","","","","5"
"Complete transfer dependency","1987","35-65 y.","middle vocational","16","","","","5"
"Complete transfer dependency","1987","35-65 y.","vocational + Abi","1","","","","5"
"Complete transfer dependency","1987","66 and older","vocational + Abi","","","","","5"
"Complete transfer dependency","1987","66 and older","higher vocational","","","","","5"
"Complete transfer dependency","1987","66 and older","higher education","1","","","","5"
"High transfer dependency","1987","66 and older","middle vocational","1","","","","3"
"High transfer dependency","1987","66 and older","vocational + Abi","","","","","3"
"High transfer dependency","1987","66 and older","in school","","","","","3"
"High transfer dependency","1987","66 and older","inadequately","1","","","","3"
"High transfer dependency","1987","66 and older","general elemantary","2","","","","3"
"High transfer dependency","1987","16-34 y.","higher vocational","2","","","","3"
"High transfer dependency","1987","35-65 y.","higher vocational","2","","","","3"
"High transfer dependency","1987","35-65 y.","higher education","1","","","","3"
"High transfer dependency","1987","16-34 y.","in school","3","","","","3"
"High transfer dependency","1987","16-34 y.","inadequately","8","","","","3"
"High transfer dependency","1987","16-34 y.","general elemantary","9","","","","3"
"High transfer dependency","1987","16-34 y.","middle vocational","21","","","","3"
"High transfer dependency","1987","16-34 y.","vocational + Abi","3","","","","3"
"High transfer dependency","1987","16-34 y.","higher education","1","","","","3"
"High transfer dependency","1987","35-65 y.","in school","","","","","3"
"High transfer dependency","1987","35-65 y.","inadequately","13","","","","3"
"High transfer dependency","1987","35-65 y.","vocational + Abi","3","","","","3"
"High transfer dependency","1987","35-65 y.","general elemantary","18","","","","3"
"High transfer dependency","1987","35-65 y.","middle vocational","22","","","","3"
"High transfer dependency","1987","66 and older","higher vocational","","","","","3"
"High transfer dependency","1987","66 and older","higher education","","","","","3"
"Low transfer dependency","1987","35-65 y.","vocational + Abi","2","","","","2"
"Low transfer dependency","1987","35-65 y.","higher vocational","7","","","","2"
"Low transfer dependency","1987","66 and older","in school","","","","","2"
"Low transfer dependency","1987","66 and older","inadequately","1","","","","2"
"Low transfer dependency","1987","66 and older","general elemantary","7","","","","2"
"Low transfer dependency","1987","66 and older","middle vocational","6","","","","2"
"Low transfer dependency","1987","66 and older","vocational + Abi","","","","","2"
"Low transfer dependency","1987","66 and older","higher education","","","","","2"
"Low transfer dependency","1987","66 and older","higher vocational","","","","","2"
"Low transfer dependency","1987","16-34 y.","higher vocational","6","","","","2"
"Low transfer dependency","1987","16-34 y.","higher education","7","","","","2"
"Low transfer dependency","1987","35-65 y.","middle vocational","56","0.0238458584716561","0.0177684786729977","0.0299232382703145","2"
"Low transfer dependency","1987","35-65 y.","in school","","","","","2"
"Low transfer dependency","1987","35-65 y.","inadequately","23","","","","2"
"Low transfer dependency","1987","35-65 y.","general elemantary","55","0.0391398097893944","0.0285817274213436","0.0496978921574451","2"
"Low transfer dependency","1987","35-65 y.","higher education","9","","","","2"
"Low transfer dependency","1987","16-34 y.","in school","8","","","","2"
"Low transfer dependency","1987","16-34 y.","inadequately","9","","","","2"
"Low transfer dependency","1987","16-34 y.","general elemantary","56","0.0533075283170062","0.0394941479123927","0.0671209087216196","2"
"Low transfer dependency","1987","16-34 y.","middle vocational","72","0.0371568262613468","0.0284382421499042","0.0458754103727894","2"
"Low transfer dependency","1987","16-34 y.","vocational + Abi","7","","","","2"
"No transfer dependency","1987","35-65 y.","in school","","","","","0"
"No transfer dependency","1987","35-65 y.","inadequately","132","0.275048572884255","0.23629407133312","0.313803074435391","0"
"No transfer dependency","1987","35-65 y.","general elemantary","571","0.54538512378179","0.518275776845339","0.572494470718241","0"
"No transfer dependency","1987","35-65 y.","middle vocational","946","0.458215954753","0.438368770316254","0.478063139189745","0"
"No transfer dependency","1987","35-65 y.","vocational + Abi","39","0.549134319381534","0.449599425637867","0.648669213125201","0"
"No transfer dependency","1987","35-65 y.","higher vocational","107","0.401543809671448","0.345698733861759","0.457388885481137","0"
"No transfer dependency","1987","35-65 y.","higher education","153","0.403626519940667","0.357573951731405","0.449679088149929","0"
"No transfer dependency","1987","66 and older","in school","","","","","0"
"No transfer dependency","1987","66 and older","inadequately","8","","","","0"
"No transfer dependency","1987","66 and older","general elemantary","338","0.849204899260672","0.814524323542422","0.883885474978922","0"
"No transfer dependency","1987","66 and older","middle vocational","455","0.901082788104031","0.875069747846901","0.927095828361162","0"
"No transfer dependency","1987","66 and older","vocational + Abi","19","","","","0"
"No transfer dependency","1987","66 and older","higher vocational","60","0.895072760236399","0.822233264745322","0.967912255727477","0"
"No transfer dependency","1987","66 and older","higher education","54","0.910169645166231","0.836581674678981","0.983757615653482","0"
"No transfer dependency","1987","16-34 y.","in school","12","","","","0"
"No transfer dependency","1987","16-34 y.","inadequately","26","","","","0"
"No transfer dependency","1987","16-34 y.","general elemantary","178","0.226644390432263","0.200901142207099","0.252387638657427","0"
"No transfer dependency","1987","16-34 y.","middle vocational","664","0.407721796219767","0.38507046567443","0.430373126765104","0"
"No transfer dependency","1987","16-34 y.","vocational + Abi","70","0.510674802050932","0.430943175814535","0.590406428287329","0"
"No transfer dependency","1987","16-34 y.","higher vocational","64","0.400909765500264","0.329513048657794","0.472306482342733","0"
"No transfer dependency","1987","16-34 y.","higher education","103","0.50953497614805","0.44286777281735","0.57620217947875","0"
