"transab_cat2","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Very high transfer dependency","1989","35-65 y.","lower secondary degree","47","0.0258420631610698","0.0195271047027956","0.0321570216193439"
"Very high transfer dependency","1989","35-65 y.","secondary school degree","3","","",""
"Very high transfer dependency","1989","35-65 y.","college entrance qualification","","","",""
"Very high transfer dependency","1989","35-65 y.","Other degree","19","","",""
"Very high transfer dependency","1989","35-65 y.","no degree/no degree yet","14","","",""
"Very high transfer dependency","1989","66 and older","lower secondary degree","3","","",""
"Very high transfer dependency","1989","66 and older","secondary school degree","","","",""
"Very high transfer dependency","1989","66 and older","college entrance qualification","","","",""
"Very high transfer dependency","1989","66 and older","Other degree","","","",""
"Very high transfer dependency","1989","66 and older","no degree/no degree yet","","","",""
"Very low transfer dependency","1990","16-34 y.","lower secondary degree","1324","0.932389328588696","0.919330320516232","0.94544833666116"
"Very low transfer dependency","1990","16-34 y.","secondary school degree","860","0.961529190543545","0.948914713220454","0.974143667866637"
"Very low transfer dependency","1990","16-34 y.","college entrance qualification","595","0.955198434924799","0.938901866650334","0.971495003199263"
"Very low transfer dependency","1990","16-34 y.","Other degree","223","0.928110153138991","0.895362311495299","0.960857994782683"
"Very low transfer dependency","1990","16-34 y.","no degree/no degree yet","280","0.882722841806581","0.846848185372589","0.918597498240573"
"Very low transfer dependency","1990","35-65 y.","lower secondary degree","2246","0.951066858559397","0.942339182483252","0.959794534635542"
"Very low transfer dependency","1990","35-65 y.","secondary school degree","609","0.978336227259477","0.966913576215969","0.989758878302985"
"Very low transfer dependency","1990","35-65 y.","college entrance qualification","481","0.986665122748202","0.97647773092892","0.996852514567484"
"Very low transfer dependency","1990","35-65 y.","Other degree","692","0.89233698127938","0.870271611470599","0.914402351088161"
"Very low transfer dependency","1990","35-65 y.","no degree/no degree yet","464","0.909603486046313","0.884569228133151","0.934637743959474"
"Very low transfer dependency","1990","66 and older","lower secondary degree","749","0.980023417947153","0.970108338650077","0.989938497244228"
"Very low transfer dependency","1990","66 and older","secondary school degree","168","1","1","1"
"Very low transfer dependency","1990","66 and older","college entrance qualification","95","1","1","1"
"Very low transfer dependency","1990","66 and older","Other degree","6","","",""
"Very low transfer dependency","1990","66 and older","no degree/no degree yet","17","","",""
"Low transfer dependency","1990","16-34 y.","lower secondary degree","60","0.039505297659068","0.0293736734057298","0.0496369219124063"
"Low transfer dependency","1990","16-34 y.","secondary school degree","19","","",""
"Low transfer dependency","1990","16-34 y.","college entrance qualification","16","","",""
"Low transfer dependency","1990","16-34 y.","Other degree","6","","",""
"Low transfer dependency","1990","16-34 y.","no degree/no degree yet","13","","",""
"Low transfer dependency","1990","35-65 y.","lower secondary degree","48","0.0208588436361883","0.0150770935793101","0.0266405936930666"
"Low transfer dependency","1990","35-65 y.","secondary school degree","6","","",""
"Low transfer dependency","1990","35-65 y.","college entrance qualification","4","","",""
"Low transfer dependency","1990","35-65 y.","Other degree","33","0.0422983914313571","0.0279702281316105","0.0566265547311037"
"Low transfer dependency","1990","35-65 y.","no degree/no degree yet","18","","",""
"Low transfer dependency","1990","66 and older","lower secondary degree","10","","",""
"Low transfer dependency","1990","66 and older","secondary school degree","","","",""
"Low transfer dependency","1990","66 and older","college entrance qualification","","","",""
"Low transfer dependency","1990","66 and older","Other degree","1","","",""
"Low transfer dependency","1990","66 and older","no degree/no degree yet","1","","",""
"High transfer dependency","1990","16-34 y.","lower secondary degree","19","","",""
"High transfer dependency","1990","16-34 y.","secondary school degree","6","","",""
"High transfer dependency","1990","16-34 y.","college entrance qualification","5","","",""
"High transfer dependency","1990","16-34 y.","Other degree","3","","",""
"High transfer dependency","1990","16-34 y.","no degree/no degree yet","7","","",""
"High transfer dependency","1990","35-65 y.","lower secondary degree","26","","",""
"High transfer dependency","1990","35-65 y.","secondary school degree","3","","",""
"High transfer dependency","1990","35-65 y.","college entrance qualification","1","","",""
"High transfer dependency","1990","35-65 y.","Other degree","11","","",""
"High transfer dependency","1990","35-65 y.","no degree/no degree yet","8","","",""
"High transfer dependency","1990","66 and older","lower secondary degree","5","","",""
"High transfer dependency","1990","66 and older","secondary school degree","","","",""
"High transfer dependency","1990","66 and older","college entrance qualification","","","",""
"High transfer dependency","1990","66 and older","Other degree","1","","",""
"High transfer dependency","1990","66 and older","no degree/no degree yet","2","","",""
"Very high transfer dependency","1990","16-34 y.","lower secondary degree","17","","",""
"Very high transfer dependency","1990","16-34 y.","secondary school degree","8","","",""
"Very high transfer dependency","1990","16-34 y.","college entrance qualification","3","","",""
"Very high transfer dependency","1990","16-34 y.","Other degree","7","","",""
"Very high transfer dependency","1990","16-34 y.","no degree/no degree yet","9","","",""
"Very high transfer dependency","1990","35-65 y.","lower secondary degree","27","","",""
"Very high transfer dependency","1990","35-65 y.","secondary school degree","6","","",""
"Very high transfer dependency","1990","35-65 y.","college entrance qualification","1","","",""
"Very high transfer dependency","1990","35-65 y.","Other degree","22","","",""
"Very high transfer dependency","1990","35-65 y.","no degree/no degree yet","14","","",""
"Very high transfer dependency","1990","66 and older","lower secondary degree","1","","",""
"Very high transfer dependency","1990","66 and older","secondary school degree","","","",""
"Very high transfer dependency","1990","66 and older","college entrance qualification","","","",""
"Very high transfer dependency","1990","66 and older","Other degree","","","",""
"Very high transfer dependency","1990","66 and older","no degree/no degree yet","","","",""
"Very low transfer dependency","1991","16-34 y.","lower secondary degree","1291","0.931804622004294","0.918509535960275","0.945099708048313"
"Very low transfer dependency","1991","16-34 y.","secondary school degree","855","0.958247526296333","0.945135817639593","0.971359234953074"
"Very low transfer dependency","1991","16-34 y.","college entrance qualification","593","0.944543072443831","0.926657141306203","0.962429003581459"
"Very low transfer dependency","1991","16-34 y.","Other degree","209","0.90486373282356","0.866695697368506","0.943031768278614"
"Very low transfer dependency","1991","16-34 y.","no degree/no degree yet","280","0.897060003755627","0.863122839248259","0.930997168262994"
"Very low transfer dependency","1991","35-65 y.","lower secondary degree","2194","0.945996939507408","0.93676580297787","0.955228076036947"
"Very low transfer dependency","1991","35-65 y.","secondary school degree","625","0.981846947210641","0.971479421830313","0.992214472590968"
"Very low transfer dependency","1991","35-65 y.","college entrance qualification","508","0.99156686891375","0.983653802008968","0.999479935818531"
"Very low transfer dependency","1991","35-65 y.","Other degree","692","0.896405693856162","0.874640083556962","0.918171304155362"
"Very low transfer dependency","1991","35-65 y.","no degree/no degree yet","449","0.896132358342651","0.869146666284546","0.923118050400757"
"Very low transfer dependency","1991","66 and older","lower secondary degree","760","0.981019067975826","0.971399494074833","0.99063864187682"
"Very low transfer dependency","1991","66 and older","secondary school degree","166","0.982044575069895","0.961964890123907","1.00212426001588"
"Very low transfer dependency","1991","66 and older","college entrance qualification","94","1","1","1"
"Very low transfer dependency","1991","66 and older","Other degree","10","","",""
"Very low transfer dependency","1991","66 and older","no degree/no degree yet","20","","",""
"Low transfer dependency","1991","16-34 y.","lower secondary degree","51","0.0383013482059831","0.0281790812687678","0.0484236151431985"
"Low transfer dependency","1991","16-34 y.","secondary school degree","20","","",""
