"pli0089","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Rarely","1994","indirect migration background","middle vocational","","","",""
"Rarely","1994","indirect migration background","vocational + Abi","","","",""
"Rarely","1994","indirect migration background","higher vocational","","","",""
"Rarely","1994","indirect migration background","higher education","","","",""
"Never","1994","no migration background","in school","","","",""
"Never","1994","no migration background","inadequately","","","",""
"Never","1994","no migration background","general elemantary","","","",""
"Never","1994","no migration background","middle vocational","","","",""
"Never","1994","no migration background","vocational + Abi","","","",""
"Never","1994","no migration background","higher vocational","","","",""
"Never","1994","no migration background","higher education","","","",""
"Never","1994","direct migration background","in school","","","",""
"Never","1994","direct migration background","inadequately","","","",""
"Never","1994","direct migration background","general elemantary","","","",""
"Never","1994","direct migration background","middle vocational","","","",""
"Never","1994","direct migration background","vocational + Abi","","","",""
"Never","1994","direct migration background","higher vocational","","","",""
"Never","1994","direct migration background","higher education","","","",""
"Never","1994","indirect migration background","in school","","","",""
"Never","1994","indirect migration background","inadequately","","","",""
"Never","1994","indirect migration background","general elemantary","","","",""
"Never","1994","indirect migration background","middle vocational","","","",""
"Never","1994","indirect migration background","vocational + Abi","","","",""
"Never","1994","indirect migration background","higher vocational","","","",""
"Never","1994","indirect migration background","higher education","","","",""
"Daily","1995","no migration background","in school","2","","",""
"Daily","1995","no migration background","inadequately","1","","",""
"Daily","1995","no migration background","general elemantary","1","","",""
"Daily","1995","no migration background","middle vocational","7","","",""
"Daily","1995","no migration background","vocational + Abi","","","",""
"Daily","1995","no migration background","higher vocational","","","",""
"Daily","1995","no migration background","higher education","2","","",""
"Daily","1995","direct migration background","in school","1","","",""
"Daily","1995","direct migration background","inadequately","","","",""
"Daily","1995","direct migration background","general elemantary","1","","",""
"Daily","1995","direct migration background","middle vocational","","","",""
"Daily","1995","direct migration background","vocational + Abi","","","",""
"Daily","1995","direct migration background","higher vocational","","","",""
"Daily","1995","direct migration background","higher education","","","",""
"Daily","1995","indirect migration background","in school","2","","",""
"Daily","1995","indirect migration background","inadequately","","","",""
"Daily","1995","indirect migration background","general elemantary","1","","",""
"Daily","1995","indirect migration background","middle vocational","4","","",""
"Daily","1995","indirect migration background","vocational + Abi","","","",""
"Daily","1995","indirect migration background","higher vocational","","","",""
"Daily","1995","indirect migration background","higher education","","","",""
"Min 1x per week","1995","no migration background","in school","14","","",""
